booking_id,guest_id,room_id,room_number,room_type,booking_date,check_in,check_out,nights,lead_time_days,adults,children,booking_month,weekday,season,channel,nationality,breakfast,upgraded,member_tier_at_booking,status,cancel_date,rate_per_night,room_charge,extra_charge,discount,service_charge,vat,total_price,commission,net_revenue
41,25,9,109,Deluxe,2024-11-05,2025-03-07,2025-03-20,13,122,2,0,2025-03,Friday,Normal,OTA,Australian,0,0,Regular,CHECKED_OUT,,2024.0,26312.0,0,0.0,2631.2,2026.02,30969.22,4645.38,26323.84
42,26,3,103,Standard,2024-11-06,2025-01-18,2025-01-19,1,73,2,2,2025-01,Saturday,High,Phone,Russian,0,0,Regular,CHECKED_OUT,,1610.0,1610.0,0,0.0,161.0,123.97,1894.97,0.0,1894.97
43,8,10,110,Deluxe,2024-11-08,2025-01-12,2025-01-15,3,65,1,0,2025-01,Sunday,High,Website,German,0,0,Regular,CHECKED_OUT,,2750.0,8250.0,0,0.0,825.0,635.25,9710.25,194.21,9516.05
44,27,14,204,Family,2024-11-10,2025-02-28,2025-03-01,1,110,2,1,2025-02,Friday,High,OTA,Korean,1,0,Regular,CHECKED_OUT,,3450.0,3450.0,700,0.0,415.0,319.55,4884.55,732.68,4151.87
45,28,11,201,Deluxe,2024-11-10,2025-02-22,2025-02-23,1,104,2,0,2025-02,Saturday,High,OTA,British,1,0,Regular,CHECKED_OUT,,2530.0,2530.0,700,0.0,323.0,248.71,3801.71,570.26,3231.45
46,5,4,104,Standard,2024-11-10,2025-04-24,2025-04-28,4,165,2,0,2025-04,Thursday,Normal,Phone,American,1,0,Regular,CHECKED_OUT,,1288.0,5152.0,2800,0.0,795.2,612.3,9359.5,0.0,9359.5
47,29,2,102,Standard,2024-11-11,2025-01-17,2025-01-20,3,67,1,0,2025-01,Friday,High,OTA,Chinese,1,0,Regular,CHECKED_OUT,,1610.0,4830.0,1050,0.0,588.0,452.76,6920.76,1038.11,5882.65
48,30,13,203,Suite,2024-11-11,2025-01-04,2025-01-06,2,54,2,1,2025-01,Saturday,High,OTA,British,1,0,Regular,CANCELLED,2024-12-26,4830.0,9660.0,1400,0.0,1106.0,851.62,13017.62,1952.64,11064.98
49,31,3,103,Standard,2024-11-12,2025-04-02,2025-04-03,1,141,2,0,2025-04,Wednesday,Normal,OTA,Russian,0,0,Regular,CANCELLED,2025-02-16,1288.0,1288.0,0,0.0,128.8,99.18,1515.98,227.4,1288.58
50,32,4,104,Standard,2024-11-13,2025-02-15,2025-02-17,2,94,1,0,2025-02,Saturday,High,Website,Russian,1,0,Regular,CHECKED_OUT,,1610.0,3220.0,700,0.0,392.0,301.84,4613.84,92.28,4521.56
51,27,8,108,Deluxe,2024-11-14,2025-01-18,2025-01-20,2,65,2,0,2025-01,Saturday,High,OTA,Korean,0,0,Regular,CANCELLED,2024-12-24,2530.0,5060.0,0,0.0,506.0,389.62,5955.62,893.34,5062.28
52,19,10,110,Deluxe,2024-11-14,2025-01-08,2025-01-11,3,55,2,2,2025-01,Wednesday,High,OTA,German,1,0,Regular,CHECKED_OUT,,2530.0,7590.0,2100,0.0,969.0,746.13,11405.13,1710.77,9694.36
53,14,12,202,Suite,2024-11-16,2025-01-10,2025-01-12,2,55,3,0,2025-01,Friday,High,OTA,Russian,1,0,Regular,CHECKED_OUT,,5250.0,10500.0,2100,0.0,1260.0,970.2,14830.2,2224.53,12605.67
54,13,12,202,Suite,2024-11-16,2025-01-01,2025-01-03,2,46,3,0,2025-01,Wednesday,High,OTA,Japanese,0,0,Regular,CANCELLED,2024-12-29,4830.0,9660.0,0,0.0,966.0,743.82,11369.82,1705.47,9664.35
55,33,13,203,Suite,2024-11-16,2025-04-03,2025-04-07,4,138,2,2,2025-04,Thursday,Normal,OTA,American,0,0,Regular,CHECKED_OUT,,3864.0,15456.0,0,0.0,1545.6,1190.11,18191.71,2728.76,15462.96
56,32,4,104,Standard,2024-11-17,2025-01-24,2025-01-31,7,68,2,2,2025-01,Friday,High,OTA,Russian,1,0,Regular,CHECKED_OUT,,1610.0,11270.0,4900,0.0,1617.0,1245.09,19032.09,2854.81,16177.28
57,8,8,108,Deluxe,2024-11-18,2025-01-24,2025-01-31,7,67,3,0,2025-01,Friday,High,Website,German,1,0,Regular,CANCELLED,2024-11-27,2530.0,17710.0,7350,0.0,2506.0,1929.62,29495.62,589.91,28905.71
58,34,3,103,Standard,2024-11-19,2025-01-26,2025-02-02,7,68,2,0,2025-01,Sunday,High,OTA,Chinese,1,0,Regular,CHECKED_OUT,,1610.0,11270.0,4900,0.0,1617.0,1245.09,19032.09,2854.81,16177.28
59,35,9,109,Deluxe,2024-11-19,2025-03-01,2025-03-03,2,102,2,0,2025-03,Saturday,Normal,OTA,Russian,1,0,Regular,CANCELLED,2024-12-26,2024.0,4048.0,1400,0.0,544.8,419.5,6412.3,961.84,5450.45
60,36,15,205,Family,2024-11-19,2025-01-10,2025-01-11,1,52,2,1,2025-01,Friday,High,OTA,Thai,1,0,Regular,CHECKED_OUT,,3750.0,3750.0,700,0.0,445.0,342.65,5237.65,785.65,4452.0
61,37,14,204,Family,2024-11-20,2025-01-31,2025-02-14,14,72,2,2,2025-01,Friday,High,OTA,American,0,0,Regular,CHECKED_OUT,,3450.0,48300.0,0,0.0,4830.0,3719.1,56849.1,8527.36,48321.74
62,38,12,202,Suite,2024-11-21,2025-01-07,2025-01-08,1,47,2,0,2025-01,Tuesday,High,Website,Thai,0,0,Regular,CHECKED_OUT,,4830.0,4830.0,0,0.0,483.0,371.91,5684.91,113.7,5571.21
63,10,15,205,Family,2024-11-21,2025-03-09,2025-03-19,10,108,3,0,2025-03,Sunday,Normal,OTA,British,0,0,Silver,CHECKED_OUT,,2760.0,27600.0,0,1380.0,2622.0,2018.94,30860.94,4629.14,26231.8
64,39,4,104,Standard,2024-11-21,2025-02-03,2025-02-06,3,74,1,0,2025-02,Monday,High,OTA,Chinese,1,0,Regular,CHECKED_OUT,,1610.0,4830.0,1050,0.0,588.0,452.76,6920.76,1038.11,5882.65
65,20,14,204,Family,2024-11-22,2025-01-06,2025-01-09,3,45,2,1,2025-01,Monday,High,OTA,Korean,0,0,Regular,CHECKED_OUT,,3450.0,10350.0,0,0.0,1035.0,796.95,12181.95,1827.29,10354.66
66,40,5,105,Standard,2024-11-23,2025-01-05,2025-01-07,2,43,2,0,2025-01,Sunday,High,Phone,Indian,1,0,Regular,CHECKED_OUT,,1610.0,3220.0,1400,0.0,462.0,355.74,5437.74,0.0,5437.74
67,20,2,102,Standard,2024-11-23,2025-01-23,2025-01-25,2,61,3,0,2025-01,Thursday,High,Website,Korean,0,0,Regular,CHECKED_OUT,,1610.0,3220.0,0,0.0,322.0,247.94,3789.94,75.8,3714.14
68,25,7,107,Deluxe,2024-11-24,2025-02-02,2025-02-12,10,70,2,0,2025-02,Sunday,High,OTA,Australian,1,0,Regular,CHECKED_OUT,,2530.0,25300.0,7000,0.0,3230.0,2487.1,38017.1,5702.56,32314.53
69,35,5,105,Standard,2024-11-25,2025-01-04,2025-01-05,1,40,1,0,2025-01,Saturday,High,Phone,Russian,0,0,Regular,CHECKED_OUT,,1610.0,1610.0,0,0.0,161.0,123.97,1894.97,0.0,1894.97
70,24,4,104,Standard,2024-11-25,2025-01-01,2025-01-03,2,37,3,0,2025-01,Wednesday,High,Phone,Indian,1,0,Regular,CHECKED_OUT,,1610.0,3220.0,2100,0.0,532.0,409.64,6261.64,0.0,6261.64
71,41,11,201,Deluxe,2024-11-25,2025-03-04,2025-03-05,1,99,2,0,2025-03,Tuesday,Normal,OTA,Singaporean,0,0,Regular,CANCELLED,2025-03-04,2024.0,2024.0,0,0.0,202.4,155.85,2382.25,357.34,2024.91
72,32,14,204,Family,2024-11-25,2025-01-27,2025-01-30,3,63,2,2,2025-01,Monday,High,OTA,Russian,1,0,Regular,CANCELLED,2025-01-06,3450.0,10350.0,2100,0.0,1245.0,958.65,14653.65,2198.05,12455.6
73,15,3,103,Standard,2024-11-26,2025-01-01,2025-01-03,2,36,2,0,2025-01,Wednesday,High,Phone,Japanese,1,0,Regular,CHECKED_OUT,,1610.0,3220.0,1400,0.0,462.0,355.74,5437.74,0.0,5437.74
74,42,10,110,Deluxe,2024-11-28,2025-01-23,2025-01-24,1,56,3,0,2025-01,Thursday,High,OTA,Australian,1,0,Regular,CANCELLED,2025-01-09,2530.0,2530.0,1050,0.0,358.0,275.66,4213.66,632.05,3581.61
75,43,14,204,Family,2024-11-28,2025-03-07,2025-03-10,3,99,2,1,2025-03,Friday,Normal,Website,German,1,0,Regular,NO_SHOW,,2760.0,8280.0,2100,0.0,1038.0,799.26,12217.26,244.35,11972.91
76,24,11,201,Deluxe,2024-11-28,2025-01-17,2025-01-20,3,50,2,0,2025-01,Friday,High,OTA,Indian,1,0,Regular,CHECKED_OUT,,2530.0,7590.0,2100,0.0,969.0,746.13,11405.13,1710.77,9694.36
77,44,6,106,Standard,2024-11-30,2025-01-24,2025-02-03,10,55,3,0,2025-01,Friday,High,OTA,Russian,1,0,Regular,CANCELLED,2025-01-22,1750.0,17500.0,10500,0.0,2800.0,2156.0,32956.0,4943.4,28012.6
78,28,12,202,Suite,2024-11-30,2025-05-29,2025-05-31,2,180,2,1,2025-05,Thursday,Low,OTA,British,0,0,Regular,CHECKED_OUT,,3477.6,6955.2,0,0.0,695.52,535.55,8186.27,1227.94,6958.33
79,45,2,102,Standard,2024-11-30,2025-01-28,2025-01-30,2,59,1,0,2025-01,Tuesday,High,OTA,Malaysian,0,0,Regular,CHECKED_OUT,,1610.0,3220.0,0,0.0,322.0,247.94,3789.94,568.49,3221.45
80,46,6,106,Standard,2024-11-30,2025-04-09,2025-04-11,2,130,3,0,2025-04,Wednesday,Normal,OTA,Russian,1,0,Regular,CHECKED_OUT,,1288.0,2576.0,2100,0.0,467.6,360.05,5503.65,825.55,4678.1
81,47,15,205,Family,2024-11-30,2025-03-19,2025-03-26,7,109,3,0,2025-03,Wednesday,Normal,OTA,German,1,0,Regular,CHECKED_OUT,,2760.0,19320.0,7350,0.0,2667.0,2053.59,31390.59,4708.59,26682.0
82,30,14,204,Family,2024-12-01,2025-01-10,2025-01-12,2,40,2,2,2025-01,Friday,High,OTA,British,1,0,Regular,CHECKED_OUT,,3750.0,7500.0,1400,0.0,890.0,685.3,10475.3,1571.29,8904.0
83,6,15,205,Family,2024-12-02,2025-02-07,2025-02-08,1,67,2,1,2025-02,Friday,High,Phone,Russian,1,0,Silver,CHECKED_OUT,,3450.0,3450.0,700,207.5,394.25,303.57,4640.32,0.0,4640.32
84,34,12,202,Suite,2024-12-03,2025-02-06,2025-02-07,1,65,2,2,2025-02,Thursday,High,OTA,Chinese,1,0,Regular,CANCELLED,2025-01-21,4830.0,4830.0,700,0.0,553.0,425.81,6508.81,976.32,5532.49
85,44,8,108,Deluxe,2024-12-03,2025-02-04,2025-02-06,2,63,2,0,2025-02,Tuesday,High,OTA,Russian,1,0,Regular,CANCELLED,2025-01-12,2530.0,5060.0,1400,0.0,646.0,497.42,7603.42,1140.51,6462.91
86,48,5,105,Standard,2024-12-04,2025-03-03,2025-03-06,3,89,2,0,2025-03,Monday,Normal,Phone,British,1,0,Regular,CHECKED_OUT,,1288.0,3864.0,2100,0.0,596.4,459.23,7019.63,0.0,7019.63
87,49,9,109,Deluxe,2024-12-04,2025-01-03,2025-01-05,2,30,1,0,2025-01,Friday,High,Phone,Thai,0,0,Regular,CHECKED_OUT,,2530.0,5060.0,0,0.0,506.0,389.62,5955.62,0.0,5955.62
88,50,13,203,Suite,2024-12-04,2025-01-06,2025-01-11,5,33,2,0,2025-01,Monday,High,OTA,Chinese,0,1,Regular,NO_SHOW,,5250.0,26250.0,0,0.0,2625.0,2021.25,30896.25,4634.44,26261.81
89,12,15,205,Family,2024-12-04,2025-01-16,2025-01-17,1,43,3,0,2025-01,Thursday,High,Website,Indian,1,0,Regular,CHECKED_OUT,,3450.0,3450.0,1050,0.0,450.0,346.5,5296.5,105.93,5190.57
90,51,5,105,Standard,2024-12-05,2025-01-10,2025-01-12,2,36,2,0,2025-01,Friday,High,OTA,Singaporean,1,0,Regular,CANCELLED,2024-12-15,1925.0,3850.0,1400,0.0,525.0,404.25,6179.25,926.89,5252.36
91,34,12,202,Suite,2024-12-05,2025-01-04,2025-01-07,3,30,2,0,2025-01,Saturday,High,OTA,Chinese,0,0,Regular,CHECKED_OUT,,5250.0,15750.0,0,0.0,1575.0,1212.75,18537.75,2780.66,15757.09
92,52,4,104,Standard,2024-12-05,2025-01-11,2025-01-17,6,37,2,0,2025-01,Saturday,High,Website,German,1,0,Regular,CHECKED_OUT,,1750.0,10500.0,4200,0.0,1470.0,1131.9,17301.9,346.04,16955.86
93,53,12,202,Suite,2024-12-06,2025-01-29,2025-02-10,12,54,2,0,2025-01,Wednesday,High,OTA,Indian,1,1,Regular,CHECKED_OUT,,4830.0,57960.0,8400,0.0,6636.0,5109.72,78105.72,11715.86,66389.86
94,54,5,105,Standard,2024-12-06,2025-01-16,2025-01-30,14,41,2,0,2025-01,Thursday,High,Website,Russian,1,0,Regular,CHECKED_OUT,,1610.0,22540.0,9800,0.0,3234.0,2490.18,38064.18,761.28,37302.9
95,55,15,205,Family,2024-12-06,2025-01-17,2025-01-19,2,42,2,2,2025-01,Friday,High,OTA,Chinese,0,0,Regular,CANCELLED,2025-01-06,3450.0,6900.0,0,0.0,690.0,531.3,8121.3,1218.19,6903.11
96,56,1,101,Standard,2024-12-06,2025-01-02,2025-01-04,2,27,1,0,2025-01,Thursday,High,OTA,Korean,0,0,Regular,CHECKED_OUT,,1610.0,3220.0,0,0.0,322.0,247.94,3789.94,568.49,3221.45
97,57,11,201,Deluxe,2024-12-07,2025-01-30,2025-02-01,2,54,2,0,2025-01,Thursday,High,Website,Japanese,1,0,Regular,CHECKED_OUT,,2530.0,5060.0,1400,0.0,646.0,497.42,7603.42,152.07,7451.35
98,58,9,109,Deluxe,2024-12-07,2025-01-07,2025-01-09,2,31,1,0,2025-01,Tuesday,High,OTA,Russian,0,0,Regular,CHECKED_OUT,,2750.0,5500.0,0,0.0,550.0,423.5,6473.5,971.02,5502.48
99,17,8,108,Deluxe,2024-12-07,2025-01-14,2025-01-16,2,38,2,0,2025-01,Tuesday,High,OTA,Russian,1,0,Regular,CHECKED_OUT,,2750.0,5500.0,1400,0.0,690.0,531.3,8121.3,1218.19,6903.11
100,59,13,203,Suite,2024-12-07,2025-02-01,2025-02-08,7,56,2,0,2025-02,Saturday,High,Website,Chinese,1,0,Regular,CHECKED_OUT,,5250.0,36750.0,4900,0.0,4165.0,3207.05,49022.05,980.44,48041.61
101,60,12,202,Suite,2024-12-08,2025-01-08,2025-01-09,1,31,2,1,2025-01,Wednesday,High,Phone,German,0,0,Regular,CHECKED_OUT,,5250.0,5250.0,0,0.0,525.0,404.25,6179.25,0.0,6179.25
102,61,7,107,Deluxe,2024-12-08,2025-01-08,2025-01-10,2,31,2,0,2025-01,Wednesday,High,OTA,Chinese,0,0,Regular,CANCELLED,2024-12-18,2750.0,5500.0,0,0.0,550.0,423.5,6473.5,971.02,5502.48
103,62,13,203,Suite,2024-12-08,2025-01-03,2025-01-05,2,26,3,0,2025-01,Friday,High,OTA,Chinese,0,0,Regular,CHECKED_OUT,,4830.0,9660.0,0,0.0,966.0,743.82,11369.82,1705.47,9664.35
104,8,11,201,Deluxe,2024-12-08,2025-04-04,2025-04-13,9,117,2,2,2025-04,Friday,Normal,OTA,German,0,0,Silver,CHECKED_OUT,,2024.0,18216.0,0,910.8,1730.52,1332.5,20368.22,3055.23,17312.99
105,3,6,106,Standard,2024-12-09,2025-01-16,2025-01-19,3,38,2,0,2025-01,Thursday,High,Phone,German,0,0,Silver,CHECKED_OUT,,1750.0,5250.0,0,262.5,498.75,384.04,5870.29,0.0,5870.29
106,63,8,108,Deluxe,2024-12-10,2025-05-31,2025-06-01,1,172,2,1,2025-05,Saturday,Low,Website,American,1,0,Regular,CHECKED_OUT,,1821.6,1821.6,700,0.0,252.16,194.16,2967.92,59.36,2908.56
107,64,6,106,Standard,2024-12-10,2025-01-24,2025-01-27,3,45,1,0,2025-01,Friday,High,Website,Singaporean,0,0,Regular,CHECKED_OUT,,1750.0,5250.0,0,0.0,525.0,404.25,6179.25,123.59,6055.66
108,65,3,103,Standard,2024-12-11,2025-01-05,2025-01-09,4,25,2,2,2025-01,Sunday,High,OTA,Russian,1,0,Regular,CHECKED_OUT,,1750.0,7000.0,2800,0.0,980.0,754.6,11534.6,1730.19,9804.41
109,62,5,105,Standard,2024-12-12,2025-01-11,2025-01-13,2,30,1,0,2025-01,Saturday,High,OTA,Chinese,1,0,Regular,CHECKED_OUT,,1750.0,3500.0,700,0.0,420.0,323.4,4943.4,741.51,4201.89
110,66,3,103,Standard,2024-12-14,2025-02-02,2025-02-04,2,50,2,0,2025-02,Sunday,High,Website,American,1,0,Regular,CHECKED_OUT,,1750.0,3500.0,1400,0.0,490.0,377.3,5767.3,115.35,5651.95
111,67,1,101,Standard,2024-12-14,2025-01-04,2025-01-05,1,21,2,0,2025-01,Saturday,High,Phone,Korean,1,0,Regular,CHECKED_OUT,,1750.0,1750.0,700,0.0,245.0,188.65,2883.65,0.0,2883.65
112,24,12,202,Suite,2024-12-14,2025-01-14,2025-01-17,3,31,2,0,2025-01,Tuesday,High,Phone,Indian,1,1,Silver,CHECKED_OUT,,5250.0,15750.0,2100,892.5,1695.75,1305.73,19958.98,0.0,19958.98
113,68,8,108,Deluxe,2024-12-14,2025-02-01,2025-02-04,3,49,2,0,2025-02,Saturday,High,Phone,German,0,0,Regular,CHECKED_OUT,,2750.0,8250.0,0,0.0,825.0,635.25,9710.25,0.0,9710.25
114,69,2,102,Standard,2024-12-14,2025-01-13,2025-01-14,1,30,1,0,2025-01,Monday,High,OTA,Chinese,0,0,Regular,CANCELLED,2025-01-13,1750.0,1750.0,0,0.0,175.0,134.75,2059.75,308.96,1750.79
